LNR,RESPONSE
1754,1
1770,1
1465,0
1470,0
1478,0
1782,0
1485,0
1519,0
1835,1
1522,0
1539,0
1853,0
1856,0
2502,0
2182,1
2191,0
2522,0
2530,1
2215,0
2550,1
2570,0
2574,0
2579,0
2247,1
2674,0
11434,0
11122,1
11127,1
11443,1
11170,0
11191,0
11198,1
10936,0
11244,0
11247,1
11252,0
11259,0
10945,0
10951,0
11271,1
10963,1
11282,0
11291,0
10980,0
10994,0
10998,0
11303,1
11630,0
11636,0
11949,0
11950,1
11956,0
11648,0
11653,0
11967,0
11972,0
11975,0
12110,0
12113,1
11712,0
11716,0
12000,0
11722,0
12023,0
12046,0
11762,0
12071,0
12077,0
11785,1
11788,0
11790,0
11800,0
11806,0
11816,0
11505,0
11837,0
11531,1
11848,0
11854,0
11877,0
11563,0
11567,0
11894,0
11906,0
11917,0
11610,0
11923,0
12596,0
12603,0
12608,0
12633,0
12637,0
21484,0
21184,0
21247,0
20991,0
21018,0
21019,1
21047,0
21054,0
21374,0
21392,0
21713,0
22019,0
22025,1
21722,1
21728,0
22039,0
22044,0
61900,0
62548,1
63176,0
64473,1
64779,1
64780,0
64784,0
65105,0
65431,1
65433,1
66055,0
66071,0
61280,1
61281,0
61284,0
61597,0
61606,0
62235,1
62240,0
62241,0
62555,1
62557,1
62565,0
62566,1
63515,0
63524,0
64797,0
65116,0
75249,0
75253,1
75575,0
76212,0
71422,0
72059,1
72060,0
72383,0
72386,0
72700,0
72715,0
73028,0
73346,0
73658,0
73662,0
73666,1
73668,0
73985,0
74299,0
74310,0
74312,0
74619,0
74620,0
74627,0
74938,0
74952,0
75911,0
75913,0
76221,0
76227,0
71448,0
15887,0
15498,0
15504,1
15507,0
15521,0
24403,0
24100,1
24436,0
24440,0
24442,0
24148,0
24149,0
24155,0
24458,0
24169,1
24477,1
24479,0
24486,0
24190,1
24515,1
24214,1
25183,0
25207,0
24889,1
24890,0
25226,0
25232,1
25244,0
25339,0
25355,0
24958,0
25277,0
25286,1
24988,0
25298,0
25309,1
25315,0
25014,0
25322,0
25333,0
25025,1
24726,0
24735,0
25055,0
25056,0
24746,0
25061,0
25067,0
25074,0
24773,0
25080,0
25086,1
25088,0
24777,0
24796,0
25104,0
24806,0
25118,0
24822,0
82811,1
83449,1
83459,0
83770,0
84091,0
84096,0
84737,0
85048,0
85049,1
85051,0
85369,0
85374,0
85380,1
82190,0
82505,0
82515,0
82517,0
82821,1
83140,1
788,0
1102,0
1109,0
821,0
829,0
837,1
845,1
1163,1
861,0
899,0
1207,1
906,0
1221,1
1545,0
1546,1
1555,0
1556,1
1879,0
1885,0
1593,0
1902,0
1611,0
1921,0
1927,0
1651,0
1978,1
1718,0
1722,0
1734,0
41705,0
41711,0
41712,0
42029,0
42347,0
42352,0
42353,0
42671,0
42987,0
43310,0
43627,0
43629,0
43945,0
43953,0
43954,1
43961,0
44280,0
44917,0
44924,1
44927,0
45244,0
45570,0
45584,1
41721,0
41739,0
42054,0
42369,0
42689,0
43019,0
43331,0
51328,0
51644,1
51653,1
51969,0
52308,1
52310,0
52626,1
52638,0
52940,0
52954,1
55194,0
55196,1
55526,0
55847,0
55848,0
51024,0
51031,0
51342,1
51348,0
51666,0
51674,0
51680,1
52331,0
53302,0
82163,0
82481,0
82498,0
55852,0
55858,0
55859,0
51037,0
51039,0
51683,0
51685,0
51695,0
51702,0
52343,0
52353,0
53314,0
53322,1
53950,1
54597,0
54925,0
55245,1
55558,1
55882,1
51384,0
51703,1
51706,0
51711,1
52041,0
52047,0
52369,1
52689,0
53331,0
53341,0
63455,1
63780,0
63783,0
64096,0
64104,0
64109,0
64422,0
65391,0
65705,0
65709,0
61568,0
62203,0
62850,0
62851,1
63164,0
63491,0
63796,0
63799,1
63802,0
63812,1
64127,0
64449,1
64771,0
65082,0
65399,0
66039,0
66048,0
71758,1
72077,0
72087,0
72405,1
72723,0
72735,0
73046,0
73682,0
73694,0
73696,1
74317,1
74974,0
75286,0
75605,0
75612,0
75929,0
76239,0
71471,0
71776,0
71779,0
72112,0
72417,0
72420,0
72425,0
73073,0
73393,0
73714,0
74337,1
74347,0
74354,1
74666,0
74667,0
74990,1
75949,0
75952,0
71486,1
71805,0
71813,0
72130,0
72437,0
82469,0
82788,0
82793,0
83111,0
83113,0
83420,1
83425,0
83428,0
83433,0
83759,1
84381,0
84709,0
85024,1
85026,0
85671,1
35158,0
34851,0
34853,0
34859,0
35162,0
35165,0
34865,0
34877,1
34898,0
35203,0
34902,0
34907,0
34930,1
34939,0
35249,1
35561,0
35568,0
35572,0
35574,0
35575,0
35889,0
35583,0
35587,0
35597,0
35900,0
35602,1
35606,1
35922,0
35936,0
41020,1
41028,0
41344,0
41666,1
42319,1
42634,1
42944,0
42952,0
42954,0
43274,0
43582,0
43590,0
43594,1
43909,0
43917,0
44561,0
45202,1
45210,0
41684,1
41691,0
42333,0
42660,0
42963,0
42979,0
43287,0
44582,0
45233,0
45544,0
45550,0
40729,0
41379,1
41395,0
4332,0
4346,0
4044,1
5031,1
5033,0
5057,1
4737,1
5067,1
4757,0
4758,0
4762,0
4780,0
5183,0
5191,0
5198,0
4802,1
5126,0
5132,1
4830,1
5154,1
4854,0
4861,0
5180,0
4574,0
4896,0
4592,0
4599,0
4914,1
4604,0
4932,0
4623,0
4633,1
4636,0
4944,0
4949,1
4644,0
4977,1
4674,0
4986,0
4683,0
4686,0
4691,0
4700,1
5018,0
5341,1
5646,1
5647,0
5649,0
5661,0
5671,1
5677,1
5375,0
5396,0
5410,0
5411,0
5714,1
5427,0
5436,0
5725,1
5733,0
5454,1
10241,0
10566,0
10579,0
929,0
935,1
1261,0
951,0
952,0
955,0
1295,1
966,0
974,0
1305,0
995,0
998,0
1403,1
1001,0
1009,0
1338,1
1029,0
1053,0
1062,0
1067,0
1071,0
9957,0
9960,1
9671,0
9680,1
9982,1
9700,0
9712,1
10023,1
10042,0
10043,0
10048,1
10049,0
10054,0
10057,0
10388,0
10396,0
10700,0
10716,0
10418,0
10730,1
10733,0
10429,1
10844,0
10856,0
10448,0
10451,0
10458,0
10743,0
10753,0
10756,0
10465,0
10488,1
10490,0
10495,0
10510,0
10818,0
10531,0
10823,0
10544,1
10553,0
31437,0
31442,0
31451,1
31453,0
31143,0
31146,0
31149,0
31460,0
31466,0
31472,0
31788,0
32113,0
31807,0
32122,0
32127,0
31820,0
31832,0
32267,0
31860,0
31873,0
32168,0
32177,0
31882,0
31896,1
31910,0
32211,1
32232,1
31943,0
31950,0
32243,1
31966,0
31976,1
31666,0
31674,0
31989,0
31990,0
31991,0
31997,0
31692,0
31719,0
31723,1
32039,0
32042,0
31739,0
32061,0
32062,0
44333,0
44656,0
44658,1
44976,0
44990,0
45312,0
45644,0
41146,0
41459,1
41462,0
41787,0
42422,1
42743,0
43076,0
44350,0
44353,0
44356,0
25163,0
25490,0
25811,0
25501,0
25502,0
25505,0
25835,0
25966,0
25973,0
25570,0
25862,0
25871,0
25877,0
34738,0
34445,0
34447,0
34754,0
34764,1
34772,0
34775,0
34484,0
34180,0
34199,1
34527,0
34226,1
34555,0
34243,0
34252,0
34267,0
34276,1
34584,0
34283,0
34290,0
34291,0
34295,1
34599,0
34603,1
35267,1
35270,0
35279,0
35300,0
34981,0
35338,1
35425,1
35426,0
35432,1
35022,1
35347,0
35062,0
35072,0
35104,0
35106,1
35114,0
35131,0
21744,0
21754,0
21784,0
22088,0
22095,0
21806,0
21811,0
22099,1
22104,1
21819,0
21822,0
21834,0
21858,1
21862,1
21875,0
22163,0
21909,0
21910,0
21913,1
21650,0
21966,0
21977,0
21662,0
21665,0
21668,0
21683,0
21697,1
22665,0
31548,0
31553,0
31555,0
31232,0
31647,0
31243,0
31266,0
31274,0
31590,0
31294,0
31296,1
31600,0
31314,0
31358,0
31369,0
31376,0
31070,0
31382,0
31385,0
31393,0
31086,0
31114,0
12861,0
13182,0
